codigo_disciplina,nome_disciplina,creditos,codigo_turma,professor,sala,vagas,dia,inicio,fim
INF01058,CIRCUITOS DIGITAIS,4,C,ANDRE INACIO REIS,Sala de Aula 108 - 43413 - Campus: Vale,14,SEGUNDA,10:30,12:10
INF01058,CIRCUITOS DIGITAIS,4,C,ANDRE INACIO REIS,Sala de Aula 108 - 43413 - Campus: Vale,14,QUARTA,10:30,12:10
INF01124,CLASSIFICAÇÃO E PESQUISA DE DADOS,4,A,JOAO LUIZ DIHL COMBA,SALA DE AULA 116 - PRÉDIO 43425 - Campus: Vale,20,TERCA,10:30,12:10
INF01124,CLASSIFICAÇÃO E PESQUISA DE DADOS,4,A,JOAO LUIZ DIHL COMBA,SALA DE AULA 116 - PRÉDIO 43425 - Campus: Vale,20,QUINTA,10:30,12:10
INF01124,CLASSIFICAÇÃO E PESQUISA DE DADOS,4,B,Lana Bertoldo Rossato,SALA DE AULA 116 - PRÉDIO 43425 - Campus: Vale,20,TERCA,13:30,15:10
INF01124,CLASSIFICAÇÃO E PESQUISA DE DADOS,4,B,Lana Bertoldo Rossato,SALA DE AULA 116 - PRÉDIO 43425 - Campus: Vale,20,QUINTA,13:30,15:10
INF01147,COMPILADORES,4,A,MARCELO DE OLIVEIRA JOHANN,SALA DE AULA 118 - PRÉDIO 43425 - Campus: Vale,25,TERCA,15:30,17:10
INF01147,COMPILADORES,4,A,MARCELO DE OLIVEIRA JOHANN,SALA DE AULA 118 - PRÉDIO 43425 - Campus: Vale,25,QUINTA,15:30,17:10
INF01147,COMPILADORES,4,B,LUCAS MELLO SCHNORR,AUDITÓRIO 1 - Campus: Vale,25,TERCA,10:30,12:10
INF01147,COMPILADORES,4,B,LUCAS MELLO SCHNORR,AUDITÓRIO 1 - Campus: Vale,25,QUINTA,10:30,12:10
INF05515,COMPLEXIDADE DE ALGORITMOS - B,4,A,André Grahl Pereira,SALA DE AULA 109 - PRÉDIO 43425 - Campus: Vale,33,SEGUNDA,10:30,12:10
INF05515,COMPLEXIDADE DE ALGORITMOS - B,4,A,André Grahl Pereira,SALA DE AULA 109 - PRÉDIO 43425 - Campus: Vale,33,QUARTA,10:30,12:10
INF05515,COMPLEXIDADE DE ALGORITMOS - B,4,B,LUCAS NUNES ALEGRE,SALA DE AULA 109 - PRÉDIO 43425 - Campus: Vale,30,SEGUNDA,13:30,15:10
INF05515,COMPLEXIDADE DE ALGORITMOS - B,4,B,LUCAS NUNES ALEGRE,SALA DE AULA 109 - PRÉDIO 43425 - Campus: Vale,30,QUARTA,13:30,15:10
INF01140,COMPUTADOR E SOCIEDADE,4,U,DANTE AUGUSTO COUTO BARONE,SALA DE AULA 118 - PRÉDIO 43425 - Campus: Vale,30,QUARTA,8:30,10:10
INF01140,COMPUTADOR E SOCIEDADE,4,U,DANTE AUGUSTO COUTO BARONE,SALA DE AULA 118 - PRÉDIO 43425 - Campus: Vale,30,QUARTA,10:30,12:10
INF01005,COMUNICAÇÃO DE DADOS,4,U,GABRIEL LUCA NAZAR,SALA DE AULA 111 - PRÉDIO 43425 - Campus: Vale,15,TERCA,8:30,10:10
INF01005,COMUNICAÇÃO DE DADOS,4,U,GABRIEL LUCA NAZAR,SALA DE AULA 111 - PRÉDIO 43425 - Campus: Vale,15,QUINTA,8:30,10:10
INF01032,EMPREENDIMENTO EM INFORMÁTICA,4,A,ERIKA FERNANDES COTA,SALA DE AULA 116 - PRÉDIO 43425 - Campus: Vale,21,SEXTA,8:30,11:50
INF01032,EMPREENDIMENTO EM INFORMÁTICA,4,B,ALEXANDRE DA SILVA CARISSIMI,SALA DE AULA 108 - PRÉDIO 43425 - Campus: Vale,19,SEXTA,8:30,11:50
INF01127,ENGENHARIA DE SOFTWARE N,4,A,LETICIA DOS SANTOS MACHADO,SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale,20,SEGUNDA,10:30,12:10
INF01127,ENGENHARIA DE SOFTWARE N,4,A,LETICIA DOS SANTOS MACHADO,SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale,20,QUARTA,10:30,12:10
INF01127,ENGENHARIA DE SOFTWARE N,4,B,LUCINÉIA HELOISA THOM,SALA DE AULA 116 - PRÉDIO 43425 - Campus: Vale,20,TERCA,15:30,17:10
INF01127,ENGENHARIA DE SOFTWARE N,4,B,LUCINÉIA HELOISA THOM,SALA DE AULA 116 - PRÉDIO 43425 - Campus: Vale,20,QUINTA,15:30,17:10
INF01203,ESTRUTURAS DE DADOS,4,A,DENNIS GIOVANI BALREIRA,SALA DE AULA 116 - PRÉDIO 43425 - Campus: Vale,20,SEGUNDA,13:30,15:10
INF01203,ESTRUTURAS DE DADOS,4,A,DENNIS GIOVANI BALREIRA,SALA DE AULA 116 - PRÉDIO 43425 - Campus: Vale,20,QUARTA,13:30,15:10
INF01203,ESTRUTURAS DE DADOS,4,B,DENNIS GIOVANI BALREIRA,SALA DE AULA 116 - PRÉDIO 43425 - Campus: Vale,20,SEGUNDA,15:30,17:10
INF01203,ESTRUTURAS DE DADOS,4,B,DENNIS GIOVANI BALREIRA,SALA DE AULA 116 - PRÉDIO 43425 - Campus: Vale,20,QUARTA,15:30,17:10
INF01203,ESTRUTURAS DE DADOS,4,C,RENATA DE MATOS GALANTE,SALA DE AULA 108 - PRÉDIO 43425 - Campus: Vale,22,TERCA,13:30,15:10
INF01203,ESTRUTURAS DE DADOS,4,C,RENATA DE MATOS GALANTE,SALA DE AULA 108 - PRÉDIO 43425 - Campus: Vale,22,QUINTA,13:30,15:10
INF05008,FUNDAMENTOS DE ALGORITMOS,4,A,LUCAS NUNES ALEGRE,SALA DE AULA 107 - P. 43425 - Campus: Vale,32,SEGUNDA,10:30,12:10
INF05008,FUNDAMENTOS DE ALGORITMOS,4,A,LUCAS NUNES ALEGRE,SALA DE AULA 107 - P. 43425 - Campus: Vale,32,QUARTA,10:30,12:10
INF05008,FUNDAMENTOS DE ALGORITMOS,4,B,LUCIO MAURO DUARTE,SALA DE AULA 107 - P. 43425 - Campus: Vale,32,TERCA,10:30,12:10
INF05008,FUNDAMENTOS DE ALGORITMOS,4,B,LUCIO MAURO DUARTE,SALA DE AULA 107 - P. 43425 - Campus: Vale,32,QUINTA,10:30,12:10
INF05008,FUNDAMENTOS DE ALGORITMOS,4,C,LEILA RIBEIRO,SALA DE AULA 107 - P. 43425 - Campus: Vale,31,TERCA,8:30,10:10
INF05008,FUNDAMENTOS DE ALGORITMOS,4,C,LEILA RIBEIRO,SALA DE AULA 107 - P. 43425 - Campus: Vale,31,QUINTA,8:30,10:10
INF01145,FUNDAMENTOS DE BANCO DE DADOS,4,A,KARIN BECKER,SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale,26,SEGUNDA,8:30,10:10
INF01145,FUNDAMENTOS DE BANCO DE DADOS,4,A,KARIN BECKER,SALA DE AULA 112 - PRÉDIO 43425 - Campus: Vale,26,QUARTA,8:30,10:10
INF01145,FUNDAMENTOS DE BANCO DE DADOS,4,B,RENATA DE MATOS GALANTE,SALA DE AULA 111 - PRÉDIO 43425 - Campus: Vale,29,TERCA,15:30,17:10
INF01145,FUNDAMENTOS DE BANCO DE DADOS,4,B,RENATA DE MATOS GALANTE,SALA DE AULA 111 - PRÉDIO 43425 - Campus: Vale,29,QUINTA,15:30,17:10
INF01047,FUNDAMENTOS DE COMPUTAÇÃO GRÁFICA,4,U,EDUARDO SIMÕES LOPES GASTAL,SALA DE AULA 108 - PRÉDIO 43425 - Campus: Vale,34,TERCA,10:30,12:10
INF01047,FUNDAMENTOS DE COMPUTAÇÃO GRÁFICA,4,U,EDUARDO SIMÕES LOPES GASTAL,SALA DE AULA 108 - PRÉDIO 43425 - Campus: Vale,34,QUINTA,10:30,12:10
INF01046,FUNDAMENTOS DE PROCESSAMENTO DE IMAGENS,4,A,JACOB SCHARCANSKI,Laboratório de Ensino 104 - 43413 - Campus: Vale,27,TERCA,15:30,17:10
INF01046,FUNDAMENTOS DE PROCESSAMENTO DE IMAGENS,4,A,JACOB SCHARCANSKI,Laboratório de Ensino 104 - 43413 - Campus: Vale,27,QUINTA,15:30,17:10
