codigo_disciplina,nome_disciplina,creditos,codigo_turma,professor,sala,vagas,dia,inicio,fim
INF01191,ARQUITETURAS AVANÇADAS DE COMPUTADORES,4,U,ANTONIO CARLOS SCHNEIDER BECK FILHO,SALA DE AULA 113 - PRÉDIO 43425 - Campus: Vale,20,QUARTA,8:30,10:10
INF01146,AVALIAÇÃO DE DESEMPENHO,4,U,LUCAS MELLO SCHNORR,SALA DE AULA 116 - PRÉDIO 43425 - Campus: Vale,10,SEGUNDA,8:30,10:10
INF01146,AVALIAÇÃO DE DESEMPENHO,4,U,LUCAS MELLO SCHNORR,SALA DE AULA 116 - PRÉDIO 43425 - Campus: Vale,10,QUARTA,8:30,10:10
INF01205,CAD PARA SISTEMAS DIGITAIS,4,U,ANDRE INACIO REIS,Sala de Aula 108 - 43413 - Campus: Vale,10,TERCA,13:30,15:10
INF01205,CAD PARA SISTEMAS DIGITAIS,4,U,ANDRE INACIO REIS,Sala de Aula 108 - 43413 - Campus: Vale,10,QUINTA,13:30,15:10
MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,6,A2,JOSE AFONSO BARRIONUEVO,Sala 103 - Campus: Vale,10,SEGUNDA,8:30,10:10
MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,6,A2,JOSE AFONSO BARRIONUEVO,Sala 103 - Campus: Vale,10,QUARTA,8:30,10:10
MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,6,A2,JOSE AFONSO BARRIONUEVO,Sala 103 - Campus: Vale,10,SEXTA,8:30,10:10
MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,6,B1,JOSE AFONSO BARRIONUEVO,Sala 101 - Campus: Vale,26,SEGUNDA,10:30,12:10
MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,6,B1,JOSE AFONSO BARRIONUEVO,Sala 101 - Campus: Vale,26,QUARTA,10:30,12:10
MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,6,B1,JOSE AFONSO BARRIONUEVO,Sala 101 - Campus: Vale,26,SEXTA,10:30,12:10
MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,6,D2,JOAO MATHEUS JURY GIRALDI,Sala 102 - Campus: Vale,6,SEGUNDA,15:30,17:10
MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,6,D2,JOAO MATHEUS JURY GIRALDI,Sala 102 - Campus: Vale,6,QUARTA,15:30,17:10
MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,6,D2,JOAO MATHEUS JURY GIRALDI,Sala 102 - Campus: Vale,6,SEXTA,15:30,17:10
MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,6,E1,Cibele Aparecida Ladeia,Sala 104 - Campus: Vale,8,SEGUNDA,18:30,20:10
MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,6,E1,Cibele Aparecida Ladeia,Sala 104 - Campus: Vale,8,QUARTA,18:30,20:10
MAT01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,6,E1,Cibele Aparecida Ladeia,Sala 104 - Campus: Vale,8,SEXTA,18:30,20:10
MAT01354,CÁLCULO E GEOMETRIA ANALÍTICA II - A,6,A2,VIRGINIA MARIA RODRIGUES,Sala 104 - Campus: Vale,3,SEGUNDA,8:30,10:10
MAT01354,CÁLCULO E GEOMETRIA ANALÍTICA II - A,6,A2,VIRGINIA MARIA RODRIGUES,Sala 104 - Campus: Vale,3,QUARTA,8:30,10:10
MAT01354,CÁLCULO E GEOMETRIA ANALÍTICA II - A,6,A2,VIRGINIA MARIA RODRIGUES,Sala 104 - Campus: Vale,3,SEXTA,8:30,10:10
MAT01354,CÁLCULO E GEOMETRIA ANALÍTICA II - A,6,B1,JACQUES AVELINE LOUREIRO DA SILVA,Sala 102 - Campus: Vale,38,SEGUNDA,10:30,12:10
MAT01354,CÁLCULO E GEOMETRIA ANALÍTICA II - A,6,B1,JACQUES AVELINE LOUREIRO DA SILVA,Sala 102 - Campus: Vale,38,QUARTA,10:30,12:10
